Ctry_Abb,Ctry_NmS,Area_SQKM,UN,ColorMap,Shape_Length,Shape_Area,administeredBy,contestedBy1,contestedBy2,contestedBy3,contestedBy4,contestedBy5,demonym,contestedRegion1,territoryTyp,recognized,inhabited,casulitiesContested,viablyContested,nameContested,contestedRegion2,autonomous,contestedRegion3
AUS,Australia,4142804,1,4,15264221.81,5.37492E+12,Australia,Indigenous Australians,Emus,None,None,None,Australian,Indigenous Social Injustice,1,1,1,0,0,"Murrawarri Republic, Others",None,0,None
MDV,Maldives,117841,1,4,1959054.198,1.19234E+11,Maldives,None,None,None,None,None,Maldivan,None,1,1,1,0,0,None,None,0,None
COM,Comoros,24570,1,7,919882.5041,25848669614,Comoros,None,None,None,None,None,Comoran,None,1,1,1,0,0,None,None,0,None
MUS,Mauritius,16971,1,7,892446.5892,18834320759,Mauritius,None,None,None,None,None,Mauritian,None,1,1,1,0,0,None,None,0,None
SYC,Seychelles,52134,1,6,2745106.219,53370176936,Seychelles,None,None,None,None,None,Seychelois,None,1,1,1,0,0,None,None,0,None
SMR,San Marino,61,1,4,51168.10667,118408782.2,San Marino,None,None,None,None,None,San Marinese,None,1,1,1,0,0,None,None,0,None
VAT,Vatican City,0,0,1,4709.70461,894727.7693,Vatican City,None,None,None,None,None,Papal Peoples',None,1,1,1,0,0,None,None,0,None
MCO,Monaco,80,1,5,80026.03111,153644786.7,Monaco,None,None,None,None,None,Monacan,None,1,1,1,0,0,None,None,0,None
STP,Sao Tome and Principe,9514,1,2,396758.0892,9579282540,Sao Tome and Principe,None,None,None,None,None,Sao Tomean,None,1,1,1,0,0,None,None,0,None
ACI,Ashmore and Cartier Islands,5047,0,4,369966.2449,5321312310,Australia,Indonesia,None,None,None,None,None,Traditional Fishing or EEZ,7,4,0,0,0,Unratified 1974 MOU Box,None,0,None
ACT,Australian Capital Territory,2433,0,4,313901.6204,3677856016,Australia,None,None,None,None,None,Canberran,None,2,4,1,0,0,None,None,1,None
ANT,Australian Northern Territory,1505861,0,4,5851968.854,1.6984E+12,Australia,None,None,None,None,None,Northern Territorian,None,2,4,1,0,0,None,None,1,None
WAT,Western Australia,2817999,0,4,9578033.892,3.4934E+12,Australia,Western Australian Secessionists,None,None,None,None,Western Australian,Inane Particularists,2,4,1,0,0,WAxit Party,None,0,None
TAS,Tasmania,123346,0,4,2596995.322,2.21954E+11,Australia,Tasmanian Secessionist,None,None,None,None,Tasmanian,Inaine Particularists,2,4,1,0,0,First Party of Tasmania,None,0,None
CXR,Christmas Island,3177,0,4,209041.4049,3306569278,Australia,None,None,None,None,None,Christmas Islander,None,2,4,1,0,0,None,None,1,None
CCK,Cocos (Keeling) Islands,3928,0,4,252683.8855,4132031668,Australia,None,None,None,None,None,Cocossian,None,2,4,1,0,0,None,None,1,None
CSI,Coral Sea Islands Territory,83257,0,4,4495890.42,94407844422,Australia,None,None,None,None,None,None,None,2,4,0,0,0,None,None,1,None
HMD,Heard Island and McDonald Islands,7072,1,4,646163.7214,19540472217,Australia,None,None,None,None,None,None,None,2,4,0,0,0,None,None,1,None
JBT,Jervis Bay Territory,82,0,4,62556.92802,123310281.2,Australia,None,None,None,None,None,The People of Jervis Bay Territory,None,2,4,1,0,0,None,None,1,None
NFK,Norfolk Island,2596,1,4,211405.8171,3409994786,Australia,Norfolk Island,New Zealand,None,None,None,Norfolk Islander,Particularists,2,4,1,0,0,Norfolk Island People for Democracy,None,0,None
TSI,Torres Strait Islands,31775,0,4,1397330.83,32979292674,Australia,Torres Strait Regional Authority,None,None,None,None,Torres Strait Islanders,Indigenous Social Injustice,2,4,1,0,0,Community Services Act of 1984,None,0,None
BAA,Buenos Aires,224,0,8,72772.35301,331777271.3,Argentina,None,None,None,None,None,Porteño,None,2,4,1,0,0,None,None,1,None
UAS,Agean Sea,147340,0,5,4258354.003,2.36213E+11,Greece,Turkey,None,None,None,None,None,Navigation and EEZ,7,4,0,0,0,Turkey does not recognize UNCLOS,None,0,None
MAG,Mount Athos,1148,0,5,191775.8686,1972434877,Greece,None,None,None,None,None,Athonite,None,2,4,1,0,0,1927 Constitution of Greece,None,1,None
KDZ,Korean Demilitarized Zone,1223,0,1,765198.6102,1981015359,None,North Korea,South Korea,United Korea,None,None,None,Korea,6,4,0,1,1,1953 Korean Armistice Agreement,None,0,None
